Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
58979784,10/01/2023 12:22:53 PM,10/01/2023 01:24:03 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10009,418 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 01:24:07 PM,03 MANHATTAN,1004410016,MANHATTAN,989391,205563,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73089813176146,-73.98145063307705,"(40.73089813176146, -73.98145063307705)",11729,70,4,50,7
58985885,10/01/2023 12:21:59 PM,10/01/2023 12:22:47 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:22:50 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58978585,10/01/2023 12:19:11 PM,10/01/2023 12:38:19 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,CORONA PLAZA,CORONA PLAZA,103 STREET,104 STREET,103 STREET,104 STREET,UNRECOGNIZED,CORONA,CORONA PLAZA,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 12:38:22 PM,04 QUEENS,4201509999,QUEENS,1022417,212453,ONLINE,Unspecified,QUEENS,,,,,,,,40.74972859434781,-73.86224973872575,"(40.74972859434781, -73.86224973872575)",14510,66,3,21,68
58981009,10/01/2023 12:18:37 PM,10/01/2023 12:32:58 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 12:33:01 PM,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)",12427,18,4,36,20
58983407,10/01/2023 12:17:37 PM,10/01/2023 12:22:46 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:22:50 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58984694,10/01/2023 12:16:22 PM,10/01/2023 12:22:46 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:22:50 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983368,10/01/2023 12:15:23 PM,10/01/2023 12:22:42 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:22:45 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983396,10/01/2023 12:03:18 PM,10/01/2023 03:46:41 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,2454 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST  187 STREET,EAST  188 STREET,EAST  187 STREET,EAST  188 STREET,ADDRESS,BRONX,TIEBOUT AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,10/01/2023 03:46:45 PM,05 BRONX,2030220058,BRONX,1013173,252823,MOBILE,Unspecified,BRONX,,,,,,,,40.86056810126927,-73.89543872667674,"(40.86056810126927, -73.89543872667674)",10936,6,5,22,29
58979706,10/01/2023 11:59:50 AM,10/01/2023 12:58:34 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11428,91 AVENUE,91 AVENUE,91 AVENUE,215 PLACE,91 AVENUE,215 PLACE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 12:58:40 PM,13 QUEENS,,QUEENS,1055002,202781,ONLINE,Unspecified,QUEENS,,,,,,,,40.72298077482623,-73.74474795909876,"(40.72298077482623, -73.74474795909876)",24337,63,3,16,63
58980918,10/01/2023 11:51:49 AM,10/01/2023 01:45:03 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11222,14 BEDFORD AVENUE,BEDFORD AVENUE,MANHATTAN AVENUE,LORIMER STREET,MANHATTAN AVENUE,LORIMER STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 01:45:07 PM,01 BROOKLYN,3026450035,BROOKLYN,997711,202940,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.72368988803002,-73.95143629019995,"(40.72368988803002, -73.95143629019995)",18182,36,2,38,57
58979729,10/01/2023 11:50:16 AM,10/01/2023 12:56:11 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11428,215-22 91 AVENUE,91 AVENUE,215 STREET,215 PLACE,215 STREET,215 PLACE,ADDRESS,QUEENS VILLAGE,91 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 12:56:16 PM,13 QUEENS,4106400001,QUEENS,1054952,202736,MOBILE,Unspecified,QUEENS,,,,,,,,40.72285766099763,-73.74492881584405,"(40.72285766099763, -73.74492881584405)",24337,63,3,16,63
58987103,10/01/2023 11:48:19 AM,10/01/2023 12:03:03 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10023,276 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST   72 STREET,WEST   73 STREET,WEST   72 STREET,WEST   73 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 12:03:08 PM,07 MANHATTAN,1011640032,MANHATTAN,989440,223136,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77913151670899,-73.9812602706007,"(40.77913151670899, -73.9812602706007)",12420,20,4,19,12
58987123,10/01/2023 11:45:48 AM,10/01/2023 11:51:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11355,41-01 147 STREET,147 STREET,41 AVENUE,BARCLAY AVENUE,41 AVENUE,BARCLAY AVENUE,ADDRESS,FLUSHING,147 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 11:52:01 AM,07 QUEENS,4050520036,QUEENS,1034666,216709,ONLINE,Unspecified,QUEENS,,,,,,,,40.76134885277409,-73.81800951292664,"(40.76134885277409, -73.81800951292664)",14190,22,3,3,67
58983366,10/01/2023 11:44:58 AM,10/01/2023 12:08:51 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:08:55 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58982123,10/01/2023 11:34:34 AM,10/01/2023 11:40:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:40:14 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983409,10/01/2023 11:27:54 AM,10/01/2023 11:37:51 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,225 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 11:38:04 AM,12 MANHATTAN,1022370001,MANHATTAN,1004290,254713,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.865780211951396,-73.9275465238366,"(40.865780211951396, -73.9275465238366)",13092,47,4,39,22
58982225,10/01/2023 11:27:36 AM,10/01/2023 12:05:30 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,120 WEST   55 STREET,WEST   55 STREET,AVENUE OF THE AMERICAS,6 1/2 AVENUE,AVENUE OF THE AMERICAS,6 1/2 AVENUE,ADDRESS,NEW YORK,WEST   55 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 12:05:35 PM,05 MANHATTAN,1010070029,MANHATTAN,990067,217397,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7633790689952,-73.97900130551267,"(40.7633790689952, -73.97900130551267)",12081,11,4,51,10
58979686,10/01/2023 11:26:05 AM,10/01/2023 11:28:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:28:54 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58978501,10/01/2023 11:24:42 AM,10/01/2023 11:28:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:28:49 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983371,10/01/2023 11:22:59 AM,10/01/2023 11:24:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:24:19 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58980949,10/01/2023 11:20:32 AM,10/01/2023 11:21:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:21:58 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58979687,10/01/2023 11:19:46 AM,10/01/2023 11:20:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:20:10 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58979689,10/01/2023 11:18:35 AM,10/01/2023 11:19:59 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:20:05 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58987054,10/01/2023 11:17:08 AM,10/01/2023 11:18:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:18:13 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58978506,10/01/2023 11:16:02 AM,10/01/2023 11:18:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:18:10 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58985847,10/01/2023 11:15:06 AM,10/01/2023 11:18:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:18:05 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58984731,10/01/2023 11:13:05 AM,10/01/2023 11:41:11 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,CLAREMONT PARKWAY,CLAREMONT PARKWAY,CLAREMONT PARKWAY,3 AVENUE,CLAREMONT PARKWAY,3 AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 11:41:19 AM,03 BRONX,,BRONX,1011595,244671,ONLINE,Unspecified,BRONX,,,,,,,,40.83819831410576,-73.90117669182736,"(40.83819831410576, -73.90117669182736)",10935,34,5,42,25
58979755,10/01/2023 11:11:02 AM,10/01/2023 11:42:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,3822 3 AVENUE,3 AVENUE,EAST  171 STREET,CLAREMONT PARKWAY,EAST  171 STREET,CLAREMONT PARKWAY,ADDRESS,BRONX,3 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 11:42:05 AM,03 BRONX,2029280012,BRONX,1011530,244553,ONLINE,Unspecified,BRONX,,,,,,,,40.83787463958802,-73.90141207796202,"(40.83787463958802, -73.90141207796202)",10935,34,5,42,25
58985957,10/01/2023 11:10:15 AM,10/01/2023 11:13:59 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10019,415 WEST   57 STREET,WEST   57 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 11:14:02 AM,04 MANHATTAN,1010670026,MANHATTAN,988012,219162,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76822465070759,-73.98641862886927,"(40.76822465070759, -73.98641862886927)",12081,12,4,10,10
58985868,10/01/2023 11:03:00 AM,10/01/2023 11:07:16 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10010,BROADWAY,BROADWAY,BROADWAY,EAST   23 STREET,BROADWAY,EAST   23 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 11:07:20 AM,05 MANHATTAN,,MANHATTAN,987263,209373,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74135662169532,-73.98912701510072,"(40.74135662169532, -73.98912701510072)",12073,11,4,50,7
58978498,10/01/2023 11:02:05 AM,10/01/2023 11:06:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,10/01/2023 11:06:38 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983398,10/01/2023 10:58:47 AM,10/01/2023 11:06:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,10/01/2023 11:06:36 AM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58983412,10/01/2023 10:57:50 AM,10/01/2023 12:12:53 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11417,103-08 LIBERTY AVENUE,LIBERTY AVENUE,103 STREET,104 STREET,103 STREET,104 STREET,ADDRESS,OZONE PARK,LIBERTY AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 12:12:59 PM,10 QUEENS,4095240004,QUEENS,1029287,187690,ONLINE,Unspecified,QUEENS,,,,,,,,40.6817278850058,-73.83762063220335,"(40.6817278850058, -73.83762063220335)",24013,62,3,41,64
